postcode,shopcode,flydist,distance,duration
3360,18390,51457,60498,3418
3360,58642,51525,77576,3802
3370,36250,67978,83451,4526
3380,63170,85261,124759,4902
3390,63170,65235,78624,2690
3390,18390,92745,129985,4529
3400,58642,50132,71547,3255
3400,63170,95484,131594,5250
3410,63170,77902,121237,4336
3420,63170,62841,91018,4503
3430,63170,80059,96625,3768
3440,63170,79777,99904,3801
3450,63170,43626,56150,2476
3450,18390,114657,170405,5994
3460,58642,40378,53458,2228
3460,18390,76962,90131,4372
3470,71100,86531,108016,4837
3500,63170,64793,78812,3647
3510,71100,76684,94149,4095
3600,63170,62542,95530,3843
3630,63170,77243,112704,4137
3700,63170,42106,54542,2669
3700,42480,101472,139620,5721
3800,63170,40379,51551,2023
3800,58642,100031,125870,5478
4000,13127,111385,143223,5904
4100,13127,62225,85738,3424
4100,13420,64014,99403,4094
4110,13127,60156,102429,4696
4120,83600,44662,79160,5046
4130,13127,67329,90359,3803
4150,84140,60808,85594,5199
4160,13127,94623,122877,4584
4180,13127,70756,101720,3882
4190,13127,84670,108590,4188
4200,13127,99768,134362,4724
4210,13127,73270,97426,3882
4220,13127,55442,73513,3701
4230,13127,82020,132439,5552
4240,06270,52575,87440,4766
4250,13127,122169,157889,6284
4270,13127,97840,132811,6221
4280,84140,57821,67141,4162
4290,13127,100379,131152,4962
4300,13127,71795,107396,4297
4310,13127,84894,109004,4288
4320,06270,47585,89015,6154
4330,13127,107647,158240,6780
4350,13127,92549,120867,4508
4360,83600,56451,79731,5129
4380,13127,107199,140095,5686
4410,13127,88563,118865,5143
4420,13127,124646,158286,6786
4500,13127,77375,100903,4815
4510,13127,95945,124971,4624
4600,13127,91862,116153,4279
4660,13127,102787,137570,5834
4700,13127,80793,104572,4213
4800,13127,64965,86055,3994
4860,13127,56120,91527,3860
4870,13127,64769,99626,4535
5000,38400,72991,126883,6426
5110,13127,123112,159644,5774
5130,13127,132732,169018,5789
5140,38400,68221,93621,4417
5150,38400,88560,128357,6307
5170,38400,71898,117968,7049
5190,13127,137757,181717,6620
5220,38400,58827,103921,6931
5230,13127,147642,188396,6709
5240,38400,67591,114531,7112
5250,38400,56279,99699,6088
5300,13127,105604,147843,5504
5320,38400,42653,88896,5391
5330,38400,70947,116687,7014
5400,38400,71294,116926,6591
5500,38400,59118,92297,5754
5700,38400,88011,122889,6551
5800,38400,51529,88742,5901
6000,06300,5043,10781,1353
6000,06270,11699,16996,1412
6000,83600,52504,66623,3131
6000,83210,114981,140744,5528
6100,06300,5043,10781,1353
6100,06270,11699,16996,1412
6100,83600,52504,66623,3131
6100,83210,114981,140744,5528
6110,06270,12559,16446,954
6110,83600,28647,38356,1611
6110,06300,29169,38941,2009
6110,83210,91047,112478,4008
6130,06270,16288,28018,1619
6130,83600,29550,49928,2276
6130,06300,30269,50513,2674
6130,83210,91193,124050,4673
6140,06270,13915,26918,2921
6140,06300,18746,44164,3699
6150,06270,14237,19876,1446
6150,83600,27400,36694,2006
6150,06300,30855,42371,2501
6150,83210,89643,110816,4403
6160,06270,6135,9522,756
6160,06300,22185,32016,1810
6160,83600,36554,46325,1996
6160,83210,98781,120446,4394
6190,06300,13731,18685,1547
6190,06270,29606,39196,2276
6190,83600,70697,88823,3995
6200,06300,5043,10781,1353
6200,06270,11699,16996,1412
6200,83600,52504,66623,3131
6200,83210,114981,140744,5528
6210,06270,20635,24137,1276
6210,83600,20530,31053,1414
6210,06300,37196,46632,2330
6210,83210,82933,105174,3812
6220,06270,9200,12249,898
6220,06300,25747,34744,1952
6220,83600,32564,47421,2041
6220,83210,94846,121543,4439
6230,06300,4344,8479,1345
6230,06270,16943,22540,1986
6230,83600,57999,72167,3704
6240,06300,10510,15594,1440
6240,06270,26178,36106,2170
6240,83600,67266,85732,3888
6250,06270,11636,15747,853
6250,83600,29531,37657,1509
6250,06300,28014,38242,1907
6250,83210,92010,111779,3907
6260,06270,40370,75558,5507
6270,06270,2429,8077,916
6270,06300,17678,28588,1941
6270,83600,39862,57921,2688
6270,83210,102340,132043,5085
6300,06300,5043,10781,1353
6300,06270,11699,16996,1412
6300,83600,52504,66623,3131
6300,83210,114981,140744,5528
6310,06300,4286,9651,1302
6310,06270,17766,23710,2100
6310,83600,58837,73336,3818
6320,06300,8558,11654,978
6320,06270,24141,32166,1708
6320,83600,65232,81793,3426
6320,83210,127668,155914,5824
6330,06270,7542,11455,1095
6330,06300,20384,31966,2120
6330,83600,37987,61299,2866
6330,83210,100261,135421,5264
6340,06300,3787,5029,726
6340,06270,20397,27838,1708
6340,83600,61325,77465,3427
6340,83210,123804,151587,5824
6360,06300,5551,14391,1147
6360,06270,20892,34903,1877
6360,83600,61988,84529,3595
6360,83210,124433,158651,5993
6370,06270,13743,21035,1188
6370,83600,28574,42946,1845
6370,06300,29336,43530,2243
6370,83210,90904,117067,4243
6380,06300,22773,44854,4023
6390,06300,10715,15920,1639
6390,06270,25540,38625,2593
6390,83600,64936,88251,4312
6400,06270,14237,19876,1446
6400,83600,27400,36694,2006
6400,06300,30855,42371,2501
6400,83210,89643,110816,4403
6410,06270,4213,8457,998
6410,06300,20571,35146,2067
6410,83600,37002,50324,2376
6410,83210,99478,124446,4774
6420,06270,50380,63711,3666
6430,06300,45707,83361,5949
6440,06300,14423,19900,2163
6440,06270,30405,42605,3118
6440,83600,70333,92231,4836
6450,06270,45167,57926,3583
6450,06300,32348,60297,3921
6460,06270,24443,50021,3219
6460,83600,31544,57487,3580
6460,06300,35763,72516,4273
6480,06270,6021,8439,946
6480,06300,16499,26055,1759
6480,83600,41697,58283,2717
6480,83210,104044,132404,5115
6500,06300,16971,24919,1709
6500,06270,33444,45431,2439
6500,83600,74482,95057,4158
6510,06270,19168,37829,3579
6510,06300,15985,46479,4059
6520,06270,16288,28018,1619
6520,83600,29550,49928,2276
6520,06300,30269,50513,2674
6520,83210,91193,124050,4673
6530,06270,23966,39656,3344
6530,83600,24328,42721,3395
6530,06300,37980,62151,4398
6540,06300,33116,73203,6542
6550,06270,15917,23369,1256
6550,83600,25401,34638,1552
6550,06300,32160,45864,2311
6550,83210,87867,108760,3950
6560,06270,8421,13188,1020
6560,06300,24234,35683,2075
6560,83600,33366,48360,2163
6560,83210,95821,122482,4561
6570,06270,6391,9697,1116
6570,06300,14423,26943,1894
6570,83600,43778,59541,2887
6570,83210,106142,133663,5285
6580,06270,17945,24801,1272
6580,83600,23723,36071,1568
6580,06300,33991,47296,2327
6580,83210,86113,110192,3966
6590,06270,22631,36069,2758
6590,83600,19929,42984,2897
6590,06300,39233,58564,3813
6600,06270,6135,9522,756
6600,06300,22185,32016,1810
6600,83600,36554,46325,1996
6600,83210,98781,120446,4394
6610,06270,9344,11636,1240
6610,06300,10744,29604,2175
6610,83600,47953,61480,3012
6610,83210,110294,135602,5409
6620,06270,20572,42030,4256
6640,06270,13339,17487,1881
6640,06300,12473,28540,2290
6640,83600,49515,71615,3582
6640,83210,111507,145737,5980
6650,06270,10422,16855,1505
6650,06300,23981,37366,2530
6650,83600,34776,50486,2772
6650,83210,96903,124607,5170
6660,06270,71765,95990,6068
6670,06300,12415,16758,1746
6670,06270,23913,38483,2547
6670,83600,61495,88109,4266
6690,06300,6024,8547,906
6690,06270,19874,30004,1806
6690,83600,59584,79630,3524
6690,83210,121894,153752,5922
6700,06270,6605,9953,720
6700,06300,10316,19439,1285
6700,83600,47226,59580,2439
6700,83210,109704,133701,4837
6710,06270,34586,54947,3335
6710,06300,29229,57318,3673
6730,06300,1211,2285,377
6730,06270,17161,23742,1277
6730,83600,57908,73369,2996
6730,83210,120375,147490,5394
6740,06270,12660,18584,1548
6740,83600,32926,52710,2482
6740,06300,26294,39095,2573
6740,83210,94876,126831,4880
6750,06270,33378,63831,4705
6790,06300,5964,13403,1307
6790,06270,17623,28278,1876
6790,83600,57056,77904,3594
6790,83210,119347,152026,5992
6800,06270,3943,4774,642
6800,06300,13243,22742,1577
6800,83600,44297,54618,2414
6800,83210,106775,128740,4811
6810,06270,18057,27301,1539
6810,83600,24927,38571,1834
